id,loc,x,y,date,n_detections
A69-1602-9719,SB-9,-119.0260167,33.471,2019-08-17,453
A69-1602-9719,SB-9,-119.0260167,33.471,2019-08-18,443
A69-1602-9719,SB-9,-119.0260167,33.471,2019-09-08,374
A69-1602-9719,SB-9,-119.0260167,33.471,2019-09-09,348
A69-1602-9719,SB-9,-119.0260167,33.471,2019-09-11,342
A69-1602-9719,SB-9,-119.0260167,33.471,2019-09-10,288
A69-1602-9723,SB-1,-119.025,33.488,2019-09-16,281
A69-1602-9719,SB-9,-119.0260167,33.471,2019-09-03,250
A69-1602-9719,SB-9,-119.0260167,33.471,2019-09-12,246
A69-1602-9720,SB-9,-119.0260167,33.471,2019-07-26,245
A69-1602-9719,SB-9,-119.0260167,33.471,2019-08-22,243
A69-1602-9719,SB-9,-119.0260167,33.471,2019-07-15,241
A69-1602-9719,SB-9,-119.0260167,33.471,2019-07-06,239
A69-1602-9720,SB-9,-119.0260167,33.471,2019-07-23,239
A69-1602-9712,Mound Inshore,-119.0193,33.4879,2019-06-22,238
A69-1602-9720,SB-9,-119.0260167,33.471,2019-10-08,237
A69-1602-9719,SB-9,-119.0260167,33.471,2019-08-19,235
A69-1602-9723,SB-1,-119.025,33.488,2019-09-18,231
A69-1602-9716,SB-9,-119.0260167,33.471,2019-09-16,228
A69-1602-9719,SB-9,-119.0260167,33.471,2019-07-11,227
A69-1602-9719,SB-9,-119.0260167,33.471,2019-08-21,225
A69-1602-9720,SB-9,-119.0260167,33.471,2019-09-22,225
A69-1602-9723,SB-1,-119.025,33.488,2019-09-15,224
A69-1602-9716,SB-10,-119.0228,33.484,2019-09-09,222
A69-1602-9716,SB-9,-119.0260167,33.471,2019-09-17,221
A69-1602-9716,SB-9,-119.0260167,33.471,2019-08-19,216
A69-1602-9718,SB-9,-119.0260167,33.471,2019-06-11,216
A69-1602-9719,SB-9,-119.0260167,33.471,2019-09-05,207
A69-1602-9712,Mound Inshore,-119.0193,33.4879,2019-06-23,205
A69-1602-9720,SB-9,-119.0260167,33.471,2019-07-22,204
A69-1602-9720,SB-9,-119.0260167,33.471,2019-09-17,201
A69-1602-9720,SB-9,-119.0260167,33.471,2019-07-21,196
A69-1602-9720,SB-9,-119.0260167,33.471,2019-09-21,193
A69-1602-9720,SB-9,-119.0260167,33.471,2019-09-23,192
A69-1602-9723,SB-10,-119.0228,33.484,2019-09-25,192
A69-1602-9719,SB-9,-119.0260167,33.471,2019-09-22,191
A69-1602-9716,SB-9,-119.0260167,33.471,2019-08-20,188
A69-1602-9720,SB-9,-119.0260167,33.471,2019-07-25,187
A69-1602-9719,SB-9,-119.0260167,33.471,2019-07-13,185
A69-1602-9716,SB-9,-119.0260167,33.471,2019-09-14,183
